,num_topics,coherence_score,num_passes
0,2,0.34687881025755396,10
1,2,0.3653027923891211,20
2,3,0.3686661275552563,10
3,3,0.38592138462308356,20
4,4,0.3838524802300534,10
5,4,0.39943367163365673,20
6,5,0.3862642562458382,10
7,5,0.40619674301581765,20
8,6,0.41438659215025064,10
9,6,0.4103178534246042,20
10,7,0.4232909645437129,10
11,7,0.4273889897185777,20
12,8,0.41615100979295383,10
13,8,0.42111229042844583,20
14,9,0.44815910103098044,10
15,9,0.44669437636562764,20
16,10,0.4080536645841787,10
17,10,0.4360527343702515,20
18,11,0.43602749528743423,10
19,11,0.4489137513152034,20
20,12,0.45483376566990186,10
21,12,0.4557107779191859,20
22,13,0.4219271054472058,10
23,13,0.45727968974778826,20
24,14,0.4457451922958371,10
25,14,0.47781843371398347,20
26,15,0.4626726709001187,10
27,15,0.46708379323756144,20
28,16,0.4448018844827802,10
29,16,0.4711293954288928,20
30,17,0.4597723584124383,10
31,17,0.47900730708604994,20
32,18,0.46498988733796054,10
33,18,0.48917325083710017,20
34,19,0.4583952798946281,10
35,19,0.46446779016102174,20
36,20,0.47224664025081575,10
37,20,0.47443822714566347,20
